----------------Nom Adj-------------------
     22 élection présidentielle
     16 Front national
     11 élections législatives
     10 société civile
     10 président américain
      6 réseaux sociaux
      5 transition écologique
      5 extrême droite
      4 votes blancs
      4 secrétaire général
      4 président turc
      4 Etat islamique
      4 campagne présidentielle
      3 scrutin présidentiel
      3 réchauffement climatique
      3 intelligence artificielle
      3 institut national
      3 guerre civile
      3 enseignement supérieur
      3 éducation nationale
      3 données personnelles
      3 Commission européenne
      2 voyage interstellaire
      2 vie publique
      2 Union européenne
      2 territoires palestiniens
      2 situation économique
      2 Série «
      2 séquence jugée
      2 santé publique
      2 saison prochaine
      2 responsable politique
      2 redressement judiciaire
      2 presse américaine
      2 photographe français
      2 « petite
      2 personnalités politiques
      2 ordre national
      2 Olympique lyonnais
      2 monde agricole
      2 Michel Noblecourt
      2 majorité absolue
      2 made in
      2 Macron compatible
      2 livre numérique
      2 justice américaine
      2 Journée internationale
      2 Jeux olympiques
      2 issue rapide
      2 Frères musulmans
      2 festival afroféministe
      2 femmes noires
      2 faute morale
      2 emplois fictifs
      2 documents internes
      2 cyberattaque mondiale
      2 Conseil constitutionnel
      2 compagnie aérienne
      2 collectivités territoriales
      2 chronique hebdomadaire
      2 chanteuse américaine
      2 canulars cruels
      2 candidats issus
      2 campagne électorale
      2 avocat général
      2 appropriation culturelle
      2 affaires européennes
      1 zone ultra
      1 week-end prochain
      1 vote utile
      1 vote blanc
      1 von der
      1 voiture politique
      1 vives critiques
      1 visage solidaire
      1 ville syrienne
      1 villes françaises
      1 villes allemandes
      1 ville rebelle
      1 ville natale
      1 vie privée
      1 vie politique
      1 vie personnelle
      1 vie intime
      1 vie civile
      1 victimes collatérales
      1 valeurs sûres
      1 Urgence humanitaire
      1 universités publiques
      1 université américaine
      1 université «
      1 tweet incompréhensible
      1 trou noir
      1 tribunal correctionnel
      1 trésors nationaux
      1 Travail collectif
      1 transformation radicale
      1 transactions immobilières
      1 traduction automatique
      1 tradition littéraire
      1 tourisme français
      1 titre serbe
      1 titre monégasque
      1 titre consécutif
      1 tir rétro
      1 tiers payant
      1 Thomas Sotinel
      1 thèses farfelues
      1 thèmes habituels
      1 texte autobiographique
      1 test électoral
      1 territoires ultramarins
      1 « terrible
      1 terrain juridique
      1 tensions internes
      1 tennisman français
      1 télévision publique
      1 technique consistant
      1 tarif exorbitant
      1 Tâches domestiques
      1 tables résultant
      1 syndicat mixte
      1 surpopulation carcérale
      1 suprémacistes blancs
      1 sujets politiques
      1 sujet brûlant
      1 Suédois Ruben
      1 studio californien
      1 stress post-traumatique
      1 stratégie initiale
      1 stars favorites
      1 sondages déclinants
      1 société placée
      1 Société générale
      1 société algérienne
      1 social potentiel
      1 social manifeste
      1 slogan «
      1 situation sanitaire
      1 sites français
      1 site parodique
      1 signalement précis
      1 siège parisien
      1 sexualité «
      1 sexe neutre
      1 serviettes hygiéniques
      1 service spécialisé
      1 service national
      1 service d
      1 sens clair
      1 sécurité locales
      1 section féminine
      1 secteurs extrémistes
      1 secrétaire national
      1 scrutin législatif
      1 scores inédits
      1 sciences sociales
      1 sciences criminelles
      1 scène humoristique
      1 scénario familier
      1 saveurs fortes
      1 santé universelle
      1 santé environnementale
      1 santé économique
      1 sanitaires régionales
      1 salle parisienne
      1 saison régulière
      1 saison médiocre
      1 saison d
      1 roman national
      1 rôle déterminant
      1 robe «
      1 rituel démocratique
      1 richesse nationale
      1 revue scientifique
      1 revue «
      1 révélation littéraire
      1 rêve français
      1 réunion publique
      1 retour gagnant
      1 restrictions afin
      1 responsables politiques
      1 résidence universitaire
      1 réserve parlementaire
      1 réseaux tissés
      1 réseau terroriste
      1 représentation numérique
      1 représentant haut
      1 répétition générale
      1 rentrée prochaine
      1 renseignement américains
      1 renseignement américaine
      1 rencontre «
      1 relation orageuse
      1 récompense suprême
      1 récif corallien
      1 recherches exhaustives
      1 recherche médicale
      1 réalité virtuelle
      1 rang mondial
      1 ralliement précoce
      1 raid aérien
      1 radio publique
      1 questions pratiques
      1 questions portant
      1 questions migratoires
      1 questions européennes
      1 Querelles fratricides
      1 quartier rebelle
      1 quartier populaire
      1 public spécialiste
      1 psychothérapeute Nadine
      1 PS Jean-Christophe
      1 PS exsangue
      1 protestations sociales
      1 protections périodiques
      1 propos racistes
      1 promesses tenues
      1 projet Summits
      1 projet gastronomique
      1 projet fou
      1 programme économique
      1 programmation militaire
      1 procureur spécial
      1 prisons israéliennes
      1 priorités européennes
      1 presse internationale
      1 presse étrangère
      1 président vénézuélien
      1 présidents précédents
      1 président russe
      1 président minoritaire
      1 président littéraire
      1 président Gabriel
      1 président français
      1 président Emmanuel
      1 préférence locale
      1 pratiques culturelles
      1 pouvoirs solennelle
      1 pouvoirs exécutif
      1 pouvoir «
      1 portée considérable
      1 pompe républicaine
      1 politique sociale
      1 politique sécuritaire
      1 politique pro-européen
      1 politique inédite
      1 politique américaine
      1 police municipale
      1 points culminants
      1 point aveugle
      1 poids lourd
      1 plongée sensorielle
      1 plans sociaux
      1 plan national
      1 plan commercial
      1 place européenne
      1 pilotage automatique
      1 physicienne égyptienne
      1 photos afin
      1 photographe officielle
      1 philosophie individualiste
      1 phases finales
      1 phase régulière
      1 pétition appelant
      1 personnes âgées
      1 personnalités présentes
      1 personnalité politique
      1 période électorale
      1 péril imminent
      1 peine français
      1 pays voisins
      1 pays musulmans
      1 paysage politique
      1 patrimoine vidéoludique
      1 passage traditionnel
      1 partis politiques
      1 Parti socialiste
      1 Parti social-démocrate
      1 Parti social
      1 partie civile
      1 Parti communiste
      1 partenaires sociaux
      1 parole rare
      1 Parlement européen
      1 parents humains
      1 parcours romanesque
      1 paradis fiscal
      1 palmarès européen
      1 palais présidentiel
      1 ouest parisien
      1 otage français
      1 organisme Vin
      1 organisme britannique
      1 organisation mondiale
      1 oreille attentive
      1 optimisation fiscales
      1 opposition socialiste
      1 opposition sociale-démocrate
      1 opposition manifeste
      1 opposition frontale
      1 opposition démocrate
      1 opposant russe
      1 opérations antiterroristes
      1 Opération antiterroriste
      1 opération «
      1 opérateur téléphonique
      1 Office européen
      1 occasion rare
      1 obstruction systématique
      1 Observatoire syrien
      1 obligation vaccinale
      1 numerus clausus
      1 nouvelle vague
      1 « Nouvelles
      1 notion d
      1 niveau scolaire
      1 négociations internationales
      1 navire français
      1 nappes phréatiques
      1 moyens politico-militaires
      1 mouvement palestinien
      1 mouvement islamique
      1 mort clinique
      1 Moon Jae-in
      1 monnaie unique
      1 mondialisation «
      1 monde musulman
      1 monde littéraire
      1 monarchie pétrolière
      1 moments politiques
      1 moments particuliers
      1 moment particulier
      1 moment même
      1 moment décisif
      1 mois sacré
      1 mois ferme
      1 modérateurs supplémentaires
      1 modèle tolérant
      1 Mobilisation populaire
      1 Minorités sexuelles
      1 minorité chrétienne
      1 ministre socialiste
      1 ministre française
      1 ministre allemande
      1 ministre algérien
      1 ministères sociaux
      1 militants hostiles
      1 milieux populaires
      1 méthode contraceptive
      1 mercredi Emmanuel
      1 menace sérieuse
      1 meeting électoral
      1 médias russes
      1 médias étrangers
      1 médecins étrangers
      1 matière noire
      1 Martin Schulz
      1 marché trouble
      1 marches exploratoires
      1 marché lucratif
      1 marché immobilier
      1 majorité présidentielle
      1 Maison blanche
      1 maire socialiste
      1 maire conservateur
      1 mains colossales
      1 magasin historique
      1 Macron prêt
      1 Macron porte
      1 machine répressive
      1 lutte quotidienne
      1 loi musulmane
      1 logiciel pédagogique
      1 logements sociaux
      1 logement insalubre
      1 local commercial
      1 lobby viticole
      1 livre «
      1 liste intégrale
      1 liste complète
      1 liquidation judiciaire
      1 ligne ferme
      1 ligne droite
      1 liens étroits
      1 libellule femelle
      1 lettre A
      1 langue vivante
      1 lancement «
      1 justice pénale
      1 journée palpitante
      1 journal satirique
      1 journalistes américains
      1 joueurs monégasques
      1 joueur mondial
      1 jeunesse britannique
      1 ( jeune
      1 jeu «
      1 Italien Gianni
      1 « issus
      1 investissement français
      1 invention récente
      1 internaute français
      1 intérêts vitaux
      1 insulte sexuelle
      1 institutions juives
      1 institution américaine
      1 installation «
      1 inscription «
      1 « inOui
      1 ingérence russe
      1 informations essentielles
      1 Infant terrible
      1 industrie militaire
      1 incident raciste
      1 Implants contraceptifs
      1 immunité parlementaire
      1 imagerie cérébrale
      1 îles flottantes
      1 île méditerranéenne
      1 idéologies extrêmes
      1 identité systématiques
      1 idées françaises
      1 idée européenne
      1 hygiène sexuelle
      1 Hulot «
      1 hôpitaux londoniens
      1 homme seul
      1 homme préhistorique
      1 homme planétaire
      1 homicides involontaires
      1 histoire politique
      1 herbicide puissant
      1 haut dirigeant
      1 hasard classés
      1 harcèlement sexuel
      1 guide suprême
      1 guerre totale
      1 guerre nazis
      1 groupe terroriste
      1 groupes conservateurs
      1 groupe pharmaceutique
      1 gouvernement prévoyant
      1 gouvernement précédent
      1 génocide imminent
      1 générations précédentes
      1 gendarmes supplémentaires
      1 gardes-côtes italiens
      1 fusée «
      1 front républicain
      1 frontières hexagonales
      1 frontières françaises
      1 fréquentation touristique
      1 fraude fiscale
      1 Français vivant
      1 fractures territoriales
      1 fractures multiples
      1 forum international
      1 forces françaises
      1 force régionale
      1 force «
      1 Football féminin
      1 fonctions régaliennes
      1 fonction publique
      1 fonctionnement archaïque
      1 fonctionnaires européens
      1 fois recteur
      1 FN dément
      1 fins personnelles
      1 finale européenne
      1 filon gazier
      1 femmes malades
      1 femmes écrivant
      1 Fédération internationale
      1 Fédération française
      1 faute lourde
      1 fanfictions érotiques
      1 familles syriennes
      1 familles politiques
      1 fait divers
      1 façon sensible
      1 extrémisme prêt
      1 expressions récurrents
      1 explication officielle
      1 experts psychiatriques
      1 expérience narrative
      1 expérience gouvernementale
      1 excitation génitale
      1 exception culturelle
      1 excédents commerciaux
      1 excédents allemands
      1 ex-aide soignante
      1 événements culturels
      1 évasion fiscale
      1 euthanasies massives
      1 euthanasies «
      1 eurodéputée centriste
      1 étude américaine
      1 Etat américain
      1 Est bruxellois
      1 espaces «
      1 erreur politique
      1 Erasmus détenteurs
      1 équipe sino-italienne
      1 équipe internationale
      1 équipe gouvernementale
      1 équilibre irakien
      1 envoyés spéciaux
      1 entrée autobiographique
      1 entrait «
      1 entraîneur français
      1 enseignement secondaire
      1 enseignants proche
      1 enquêtes administratives
      1 enquête judiciaire
      1 enquête internationale
      1 enjeux écologiques
      1 enjeu majeur
      1 énigme maléfique
      1 engagement français
      1 enfants malades
      1 enfance américaine
      1 énergies renouvelables
      1 emplois familiaux
      1 Emirats arabes
      1 élus républicains
      1 élus nationalistes
      1 élections locales
      1 Elections locales
      1 élections anticipées
      1 élections allemandes
      1 élection régionale
      1 effets indésirables
      1 édition française
      1 édition créatrice
      1 écoles françaises
      1 ébats torrides
      1 dynamique corporelle
      1 droits essentiels
      1 droits civiques
      1 droite américaine
      1 drapeau français
      1 dossiers prioritaires
      1 dossier sensible
      1 dossiers communs
      1 dos Emmanuel
      1 documents secrets
      1 documents censés
      1 djihadistes maliens
      1 djihadisme individuel
      1 Diversité ethnique
      1 diva fantasque
      1 dispositifs électroniques
      1 discussion «
      1 directeur technique
      1 directeur général
      1 diplomatie éthiopienne
      1 diplomatie allemande
      1 dilemmes cornéliens
      1 détox intérieure
      1 déroulé «
      1 député français
      1 député européen
      1 département rural
      1 démocratie européenne
      1 demande française
      1 Déléguée générale
      1 délégation américaine
      1 défis considérables
      1 décision arbitraire
      1 débat présidentiel
      1 débat national
      1 débat brutal
      1 débarquement américain
      1 cyberattaque dévastatrice
      1 culture populaire
      1 culture israélienne
      1 crise profonde
      1 Crédit lyonnais
      1 créations technologiques
      1 création journalistique
      1 coutume républicaine
      1 cousin caucasien
      1 Cour suprême
      1 cours magistral
      1 course folle
      1 couple vivant
      1 couple américain
      1 « coupable
      1 coudées franches
      1 côté gauche
      1 côté fédérateur
      1 convention nationale
      1 contraire «
      1 Conseil supérieur
      1 conseil régional
      1 conseillers généraux
      1 conseillère municipale
      1 conseiller diplomatique
      1 Congrès afin
      1 confrontation télévisuelle
      1 confrères français
      1 conditions insalubres
      1 concours musical
      1 conclusions relatives
      1 concert exceptionnel
      1 concertation express
      1 concentré anecdotique
      1 compromis budgétaire
      1 comportement rarissime
      1 comportement inapproprié
      1 communication présidentielle
      1 commune cossue
      1 commission nationale
      1 commandement saoudien
      1 Comité international
      1 combiné nordique
      1 collaboration internationale
      1 cocon clos
      1 coalition militaire
      1 club londonien
      1 clivage gauche-droite
      1 cliché colonial
      1 cité portuaire
      1 circulaire prévoyant
      1 « cinquième
      1 cinéma international
      1 cinéma français
      1 chute collective
      1 chronique bimensuelle
      1 chiot rescapé
      1 chiffres fous
      1 chiffres décevants
      1 chercheurs américains
      1 chef «
      1 charges suffisantes
      1 charge mentale
      1 charge explosive
      1 chantiers sociaux
      1 chantier olympique
      1 Chantier naval
      1 changement climatique
      1 champion olympique
      1 championne olympique
      1 chaîne qatarie
      1 centre pénitentiaire
      1 cécité morale
      1 caution régalienne
      1 catégorie A
      1 catastrophe industrielle
      1 cas suspects
      1 carte participative
      1 carrosse présidentiel
      1 Carré français
      1 cargo secret
      1 caractère «
      1 capitulation allemande
      1 capitale française
      1 capitale européenne
      1 capitale belge
      1 capitale afghane
      1 canular homophobe
      1 candidats présents
      1 candidat conservateur
      1 campagne législative
      1 calendrier cosmique
      1 cabinets ministériels
      1 brochures électorales
      1 boxeuse française
      1 bouillonnement culturel
      1 boîtes noires
      1 bibliothèque nationale
      1 biais antisioniste
      1 bâtiment historique
      1 bâtiment fastueux
      1 bataille climatique
      1 bassins praticables
      1 base rares
      1 base aérienne
      1 barre fatidique
      1 barragiste virtuel
      1 barrages électriques
      1 Baroin prêt
      1 banlieue nantaise
      1 Bande originale
      1 bacheliers Quand
      1 avancées significatives
      1 autorités turques
      1 autorités ivoiriennes
      1 augmentation massive
      1 attentat «
      1 attaques terroristes
      1 attaque puissante
      1 association Animal
      1 assistants personnels
      1 Assistants parlementaires
      1 assistance humanitaire
      1 ascension exceptionnelle
      1 artiste italien
      1 artiste inconnue
      1 article portant
      1 art délicat
      1 armée américaine
      1 Arena afin
      1 Arabie saoudite
