----------------Nom Prp Nom-------------------
      9 candidat d' En
      8 Festival de Cannes
      7 passation des pouvoirs
      5 tirage au sort
      5 Palme d' or
      5 code du travail
      4 réforme du code
      4 millions d' euros
      4 élection d' Emmanuel
      4 candidate du Front
      4 ans de prison
      3 victoire d' Emmanuel
      3 Soudan du Sud
      3 prison avec sursis
      3 Minute par minute
      3 ministre des armées
      3 mercredi 17 mai
      3 Ligue des champions
      3 hockey sur glace
      3 garde à vue
      3 directeur du FBI
      3 dimanche 14 mai
      3 Côte d' Ivoire
      3 cohésion des territoires
      3 chef de file
      3 candidate du FN
      2 visite du président
      2 ville du pays
      2 tête du mouvement
      2 taux de chômage
      2 SPA de Pau
      2 soupçons d' emplois
      2 secrétaire d' Etat
      2 salle de concert
      2 reports de voix
      2 rédacteur en chef
      2 recul des violences
      2 province de Minya
      2 projet de résolution
      2 programme d' Emmanuel
      2 prise en charge
      2 président du MoDem
      2 policier en service
      2 poignée de main
      2 piratage d' En
      2 Philippe au poste
      2 perte de vitesse
      2 Pen en tête
      2 opérations de sauvetage
      2 mouvement d' Emmanuel
      2 mois de prison
      2 mois de campagne
      2 mise en examen
      2 ministre des solidarités
      2 millions de personnes
      2 milliers de personnes
      2 milliers de documents
      2 meurtre de Montigny-les-Metz
      2 maison d' édition
      2 maire de Nice
      2 jeudi 11 mai
      2 homme d' affaires
      2 GP de Monaco
      2 gouvernement d' Edouard
      2 garde des sceaux
      2 forces de sécurité
      2 fin de saison
      2 état d' urgence
      2 empoisonneuse de Chambéry
      2 élection de Macron
      2 droit du travail
      2 discussions en cours
      2 demandeurs d' emploi
      2 demandeurs d' asile
      2 début du mois
      2 cours du week-end
      2 Cour de cassation
      2 Corée du Nord
      2 confrontation avec Israël
      2 chef du gouvernement
      2 championnat du monde
      2 chambre de discipline
      2 centre de tri
      2 cas de victoire
      2 campagne des élections
      2 bureaux de vote
      2 bureau de vote
      2 Attentat des Champs-Elysées
      2 ans d' occupation
      2 ans de réclusion
      2 aéroport de Notre-Dame-des-Landes
      2 accord d' Astana
      1 zones avec peu
      1 zone de transition
      1 zone de défense
      1 yéménite du réseau
      1 Yémen en état
      1 WikiLeaks des milliers
      1 week-end d' élection
      1 vue pour Monaco
      1 vue des Jeux
      1 vue des élections
      1 Voyage en terre
      1 vote au Sénat
      1 vols par an
      1 vols au départ
      1 volonté de recomposition
      1 vœux par Marine
      1 vitesse au plan
      1 vision du monde
      1 vision des réformes
      1 viseur du Front
      1 viseur du CSA
      1 vingtaine de villes
      1 vingtaine de terroristes
      1 vingtaine de civils
      1 ville de Bruxelles
      1 village du sud
      1 vie des militaires
      1 vie des Français
      1 victoire du président
      1 victoire de Macron
      1 victoire de Fillon
      1 victimes de dommages
      1 victime des intox
      1 vice-président du FN
      1 veto aux négociations
      1 vestiges du passé
      1 versement de primes
      1 vente des actions
      1 vendredi à samedi
      1 vendredi 26 mai
      1 vendredi 19 mai
      1 véhicules sans vignette
      1 valeur de répétition
      1 Vainqueur de Montauban
      1 vainqueur de dimanche
      1 utilisation d' éther
      1 usine de Pardies
      1 usage de cannabis
      1 urnes dès samedi
      1 université au rattrapage
      1 univers des Pink
      1 unité d' élite
      1 UNEF au pouvoir
      1 type d' affaires
      1 tueur en série
      1 troubles du comportement
      1 troncs d' arbre
      1 trio de blondes
      1 trimestre par rapport
      1 trésorier du FN
      1 trentaine d' étudiants
      1 trentaine de personnes
      1 travail par ordonnances
      1 Travailleurs en ordre
      1 train en provenance
      1 trafic d' influence
      1 tournage au bout
      1 tour entre Marine
      1 tour du scrutin
      1 tour du monde
      1 Tour d' horizon
      1 tour à tour
      1 totalité des quelque
      1 toit du monde
      1 titre sur terre
      1 titre de champion
      1 tirs de missiles
      1 tir de missile
      1 -t-il des liens
      1 théorie du complot
      1 théâtre de protestations
      1 tête du pays
      1 tête du collège
      1 tête du classement
      1 tête des suffrages
      1 tête de cheval
      1 tenue du festival
      1 tentative de chantage
      1 tentation du père
      1 tenant du titre
      1 Temps d' antenne
      1 température des villes
      1 Témoignages d' électeurs
      1 taux d' imposition
      1 taux de participation
      1 tagage du siège
      1 syndrome d' excitation
      1 synchrotron du Moyen-Orient
      1 SVT du baccalauréat
      1 surveillance des jeux
      1 sûreté du cimentier
      1 suite de révélations
      1 sud du pays
      1 sud du Caire
      1 succès de Monaco
      1 statut de favorite
      1 stars de Cannes
      1 star de fanfictions
      1 spécialistes des données
      1 SPD de Schulz
      1 soutien à Emmanuel
      1 soupçons d' évasion
      1 sort des réfugiés
      1 solidité du projet
      1 soixantaine d' années
      1 sociétés de production
      1 situation du fleuve
      1 situation à Abidjan
      1 simples du couple
      1 silence du peloton
      1 signe de raidissement
      1 signature du contrat
      1 siège du PSG
      1 siège du Parti
      1 sexes au sein
      1 services du directeur
      1 services de renseignement
      1 service à destination
      1 série de photographies
      1 série d' attaques
      1 série d' activités
      1 série au sein
      1 semaine de président
      1 semaine au pouvoir
      1 sélectionneur des Bleus
      1 sélection d' articles
      1 séjour au Club
      1 sein d' En
      1 sécurité du public
      1 sécurité du pays
      1 sécurité des piétons
      1 sécurité des événements
      1 sécurité chez Microsoft
      1 secteurs du cinéma
      1 secrétaires d' Etat
      1 secrétaire d' En
      1 scrutin de juin
      1 scrutin de dimanche
      1 Scrutée avec attention
      1 score du Front
      1 schéma de reprise
      1 sauvetage au large
      1 samedi en Syrie
      1 Salles de cinéma
      1 salariés de Mim
      1 sacre en vue
      1 rue du Canal
      1 rue de Solférino
      1 rue des enfants
      1 route des ministres
      1 route des migrants
      1 rôle de maîtresse
      1 rives du lac
      1 risques du président
      1 revue de sciences
      1 réunion de travail
      1 retour des étrangers
      1 reste du corps
      1 reste à charge
      1 responsables des jeux
      1 responsable du terrorisme
      1 responsabilité du laboratoire
      1 requête du plaignant
      1 reproduction des orques
      1 reproduction des dauphins
      1 reprise des mutineries
      1 reprise des expulsions
      1 représentants des syndicats
      1 représentante du lobby
      1 Reporters sans frontières
      1 report de voix
      1 réponses d' Emebet
      1 réponses de Marjorie
      1 réponses de Bernard
      1 renvoi du groupe
      1 rencontre entre Emmanuel
      1 rencontre du peuple
      1 renaissance en demi-finale
      1 remise de diplômes
      1 remise à plat
      1 remise à niveau
      1 remaniement des équipes
      1 reine des paparazzis
      1 règles du succès
      1 règles du scrutin
      1 règles du débat
      1 règles du Congrès
      1 réfugiés du Soudan
      1 réforme du droit
      1 réduction aux étudiants
      1 recrudescence des infections
      1 recours en justice
      1 record d' Ibrahimovic
      1 recomposition du paysage
      1 recomposition des partis
      1 recherche en informatique
      1 recherche du logement
      1 recherche de responsables
      1 Rebond du tourisme
      1 réalité du conflit
      1 Réactualisation du calendrier
      1 rapport au quatrième
      1 rapidité des trains
      1 rangs d' Emmanuel
      1 ralliement à Marine
      1 raidissement du pouvoir
      1 radio du groupe
      1 radical-socialisme du couple
      1 radical de gauche
      1 quinzaine de rédactions
      1 quinzaine de propositions
      1 questions en lien
      1 questions du reste
      1 question du trafic
      1 question du manque
      1 question des migrants
      1 quarts de finale
      1 quartier d' Al-Waer
      1 quarantaine d' opérations
      1 quantité d' électeurs
      1 Pulvar de retour
      1 publication sur Internet
      1 publication de documents
      1 PSG sans pitié
      1 PS en vue
      1 PS du Mans
      1 proue des victimes
      1 protection des Français
      1 protecteurs du patrimoine
      1 pros du jeu
      1 propriété des droits
      1 propositions du candidat
      1 propositions de Hamon
      1 proposition d' Emmanuel
      1 prononcé au Zénith
      1 promesses de campagne
      1 promesse du candidat
      1 Promesse de campagne
      1 prolongement du démantèlement
      1 projets de voyage
      1 projet du PS
      1 projet de voyage
      1 projet de SCOP
      1 projet de réforme
      1 projet de forage
      1 projet de candidature
      1 projet d' aéroport
      1 programmes d' intelligence
      1 programmes de Marine
      1 programme du candidat
      1 profit de Monaco
      1 professeure d' hématologie
      1 professeure de philosophie
      1 professeur d' histoire-géographie
      1 produits de base
      1 producteur de pétrole
      1 procès en légitimité
      1 procès en diffamation
      1 procédure de vote
      1 Prix de Barcelone
      1 prison à vie
      1 prison à perpétuité
      1 prises de guerre
      1 prise d' otage
      1 prise de molécule
      1 prise de guerre
      1 priorité du titulaire
      1 principe de réalité
      1 présidente d' université
      1 présidente du Front
      1 présidente du FN
      1 président du Parti
      1 président des Etats-Unis
      1 président de Macédoine
      1 présidence du parti
      1 présents à Astana
      1 présentateur du journal
      1 prescription des faits
      1 première au monde
      1 prélude au sommet
      1 pouvoirs du président
      1 pouvoir d' attraction
      1 Poutine d' ingérence
      1 poussières du désert
      1 poursuites pour viol
      1 poste depuis décembre
      1 positions du PS
      1 position de force
      1 portrait de Martyn
      1 porte-parole du mouvement
      1 porte-parole du gouvernement
      1 portée par Emmanuel
      1 Porte d' entrée
      1 population de loups
      1 population de canidés
      1 pompiers de New
      1 politiques de santé
      1 politique du vendredi
      1 politique d' ouverture
      1 politique de Trump
      1 policiers d' Aulnay-sous-Bois
      1 police de proximité
      1 police à Aulnay-sous-Bois
      1 poisson-pilote pour Emmanuel
      1 points par rapport
      1 plupart des députés
      1 plate-forme de vidéo
      1 plate-forme d' aide
      1 plat des règles
      1 plan d' urbanisme
      1 plaintes au CSA
      1 plaidoirie en défense
      1 place en quarts
      1 place en demi-finale
      1 place de leader
      1 place de dispositifs
      1 place aux débats
      1 place au Français
      1 place au classement
      1 piratage du mouvement
      1 pilote de ligne
      1 piétons en péril
      1 pieds sur terre
      1 peu d' appétence
      1 peu d' air
      1 peu au contrôle
      1 peu à peu
      1 pétrole d' Afrique
      1 perte des coupes
      1 personnes au total
      1 personne en danger
      1 personnalités de LR
      1 perquisitions au siège
      1 périmètres des ministères
      1 peines de prison
      1 peine de prison
      1 peine de mort
      1 peau de zèbre
      1 pays en développement
      1 pays du monde
      1 pays d' Asie
      1 patron du PS
      1 patron du FBI
      1 passation de pouvoirs
      1 partie du financement
      1 partie du cabinet
      1 Parti du travail
      1 parti aux élections
      1 parti au pouvoir
      1 parti au lendemain
      1 part des juges
      1 partage des données
      1 parquet de Stuttgart
      1 paroles d' électeurs
      1 parcours du président
      1 parc des Expositions
      1 Palais des festivals
      1 paiement de primes
      1 ouverture du centre
      1 ouverture des bureaux
      1 ouverture de bassins
      1 outils aux internautes
      1 OTAN à Bruxelles
      1 orques en captivité
      1 origine du mal
      1 organisation des pièces
      1 organisation des JO
      1 organisateurs d' événements
      1 ordre de bataille
      1 or au Festival
      1 opposition de droite
      1 opération de tagage
      1 opération des forces
      1 ONU au sujet
      1 omniprésence du bâti
      1 offres des présidents
      1 octobre en raison
      1 occupation des territoires
      1 objet de vives
      1 nuit de vendredi
      1 Nuit des musées
      1 nuit de lundi
      1 NPA à En
      1 note en classe
      1 non-assistance à personne
      1 noms du cabinet
      1 nomination d' Edouard
      1 nom du lauréat
      1 Nombre de voix
      1 nombre de victimes
      1 nombre d' étudiants
      1 nombre de transactions
      1 nombre de personnalités
      1 nombre d' élus
      1 nombre de licenciements
      1 nombre de demandeurs
      1 nombre de collaborateurs
      1 nom au palmarès
      1 niveau de tension
      1 niveau des votes
      1 niveau d' alerte
      1 néophytes en politique
      1 Mutineries en Côte
