----------------Nom Prp Det Nom-------------------
     18 chef de l' Etat
     12 tour de l' élection
      6 ministre de la cohésion
      5 débat de l' entre-deux-tours
      4 moralisation de la vie
      4 ministre de la transition
      4 ministère de la culture
      4 Hollande pendant son quinquennat
      3 sortie de l' euro
      3 présidence de la région
      3 ministre de l' intérieur
      3 ministre de l' éducation
      3 Français de l' étranger
      2 tête de la région
      2 sommet de l' OTAN
      2 retraite à 60 ans
      2 retour sur les arguments
      2 résumé de la semaine
      2 responsable de la mort
      2 protection de l' enfance
      2 partie de la population
      2 partie de la droite
      2 ministre de l' économie
      2 ministre de la santé
      2 ministre de l' agriculture
      2 invité de l' émission
      2 intox pendant la campagne
      2 forces de l' ordre
      2 finalistes de l' élection
      2 fil de la campagne
      2 devoirs à l' école
      2 coulisses d' une victoire
      2 candidat de la droite
      2 campagne par les étudiants
      2 abolition de l' esclavage
      1 vue d' une alliance
      1 vue de l' étranger
      1 voyages à l' étranger
      1 voûte d' une société
      1 volets de l' affaire
      1 visite à la japonaise
      1 visions de la justice
      1 vidéo d' une minute
      1 victoire de son parti
      1 victoire de la droite
      1 victimes de la loi
      1 vice-président de la commission
      1 venue de la droite
      1 veille de son départ
      1 utilisation de son indemnité
      1 unité de la droite
      1 tribune contre le FN
      1 travail sur la réforme
      1 travailleurs dans la rue
      1 transition vers un euro
      1 tours de l' élection
      1 tour depuis l' élection
      1 toile d' une artiste
      1 théorie de l' action
      1 texte dans la revue
      1 tête dans la majorité
      1 temps pour la concertation
      1 tempo de la réforme
      1 taxe sur les propriétaires
      1 suppression de la taxe
      1 suppression de la réserve
      1 suite de la propagation
      1 suite de la mise
      1 suite à la pétition
      1 Sud à la tête
      1 stupeur dans les rangs
      1 stagiaires pour l' année
      1 spectacle de l' humoriste
      1 spécialistes de l' informatisation
      1 Spécialiste de la diplomatie
      1 souvenir de la déportation
      1 soutien à sa fille
      1 sous-évalué dans le processus
      1 sondages depuis le mois
      1 soir pour les jours
      1 soir de la défaite
      1 social pour la loi
      1 sièges de l' Assemblée
      1 sénateur de l' Aube
      1 semaine à l' Elysée
      1 Seine par des skinheads
      1 Seine par des militants
      1 salons de l' Elysée
      1 saison à l' Elysée
      1 rupture avec l' héritage
      1 rumeur sur un compte
      1 rumeur d' une taxe
      1 routier de la politique
      1 rond de la loi
      1 révélations concernant une affaire
      1 révélations concernant le ministre
      1 rétrospective sur un entre-deux-tours
      1 retrait de la vie
      1 retrait de la présidence
      1 Retour sur le parcours
      1 Retour sur ces moments
      1 retour d' un ministère
      1 retour à l' emploi
